1.01583338 -3064.0 4995.99463
1.03250003 -3073.0 4996.01367
1.04916668 -3086.0 4996.01367
1.06583333 -3196.0 4996.01367
1.08249998 -3074.0 4996.01367
1.09916663 -3002.0 4996.01367
1.11583328 -3258.0 4995.67041
1.13249993 -3010.0 4996.01367
1.1491667 -3164.0 4995.49854
1.16583335 -3261.0 4995.19336
1.1825 -3095.0 4996.01367
1.19916666 -3034.0 4996.01367
1.21583331 -3084.0 4995.95654
1.23249996 -3025.0 4996.01367
1.24916673 -3147.0 4996.01367
1.26583338 -2762.0 4996.01367
1.28250003 -3013.0 4996.01367
1.29916668 -2875.0 4996.01367
1.31583333 -2701.0 4996.01367
1.33249998 -3016.0 4996.01367
1.34916663 -3117.0 4995.25049
1.36583328 -3184.0 4996.96729
1.38249993 -3195.0 4995.02197
1.3991667 -3169.0 4995.23145
1.41583335 -3179.0 4995.7085
1.4325 -3046.0 4995.68945
1.44916666 -3153.0 4995.55566
1.46583331 -3181.0 4995.51758
1.48249996 -3241.0 4995.04102
1.49916673 -3161.0 4995.04102
1.51583338 -2661.0 4996.01367
1.53250003 -2777.0 4996.01367
1.54916668 -2641.0 4996.01367
1.56583333 -2810.0 4996.01367
1.58249998 -2611.0 4996.01367
1.59916663 -2565.0 4996.01367
1.61583328 -2762.0 4996.01367
1.63249993 -2715.0 4996.01367
1.64916658 -3059.0 4996.96729
1.66583335 -3048.0 4996.96729
1.6825 -2875.0 4996.01367
1.69916666 -2827.0 4996.01367
1.71583331 -2821.0 4996.01367
1.73250008 -2792.0 4996.01367
1.74916673 -2883.0 4996.75732
1.76583338 -2946.0 4996.01367
1.78250003 -3137.0 4995.97559
1.79916668 -3002.0 4996.01367
1.81583333 -3082.0 4996.01367
1.83249998 -2996.0 4996.01367
1.84916663 -3230.0 4995.44141
1.86583328 -3002.0 4995.9375
1.88249993 -3134.0 4995.09814
1.89916658 -3133.0 4995.02197
1.91583335 -3231.0 4995.09814
1.9325 -3127.0 4995.47949
1.94916666 -3122.0 4995.00293
1.96583331 -3091.0 4995.99463
1.98250008 -3136.0 4995.97559
1.99916673 -3049.0 4995.80371
2.01583338 -2775.0 4996.01367
2.03250003 -3034.0 4996.01367
2.04916668 -2875.0 4996.01367
2.06583333 -2968.0 4996.01367
2.08249998 -2738.0 4996.01367
2.09916663 -2833.0 4996.94824
2.11583328 -2703.0 4996.01367
2.13249993 -2998.0 4995.30811
2.14916658 -3153.0 4995.95654
2.16583323 -2905.0 4996.96729
2.18249989 -2898.0 4996.01367
2.19916677 -2773.0 4996.01367
2.21583343 -2956.0 4996.01367
2.23250008 -3076.0 4996.94824
2.24916673 -3235.0 4995.09814
2.26583338 -3206.0 4995.34619
2.28250003 -3173.0 4995.67041
2.29916668 -3226.0 4995.53662
2.31583333 -3224.0 4995.51758
2.33249998 -3155.0 4995.26953
2.34916663 -3222.0 4995.19336
2.36583328 -3198.0 4995.15527
2.38249993 -3090.0 4995.15527
2.39916658 -3120.0 4996.96729
2.41583323 -2968.0 4996.96729
2.43249989 -3091.0 4996.96729
2.44916677 -3093.0 4996.05176
2.46583343 -2666.0 4996.96729
2.48250008 -2977.0 4996.96729
2.49916673 -2879.0 4996.01367
2.51583338 -2383.0 4996.01367
2.53250003 -2492.0 4996.01367
2.54916668 -2553.0 4996.01367
2.56583333 -2473.0 4996.01367
2.58249998 -2353.0 4996.01367
2.59916663 -2747.0 4996.01367
2.61583328 -2682.0 4996.01367
2.63249993 -2681.0 4996.01367
2.64916658 -3056.0 4996.66211
2.66583347 -2935.0 4996.01367
2.68249989 -2938.0 4996.01367
2.69916677 -2933.0 4996.01367
2.71583319 -2848.0 4995.55566
2.73250008 -2829.0 4996.01367
2.74916673 -3132.0 4995.49854
2.76583338 -3045.0 4996.01367
2.78250003 -3094.0 4996.01367
2.79916668 -3074.0 4996.01367
2.81583333 -2978.0 4996.01367
2.83249998 -3164.0 4996.01367
2.84916663 -3187.0 4996.01367
2.86583328 -3030.0 4996.01367
2.88249993 -3215.0 4996.01367
2.89916658 -3131.0 4995.99463
2.91583347 -2982.0 4995.99463
2.93249989 -2954.0 4996.96729
2.94916677 -2976.0 4995.99463
2.96583319 -2946.0 4996.01367
2.98250008 -2851.0 4996.43311
2.99916673 -2642.0 4996.01367
3.01583338 -2330.0 4996.01367
3.03250003 -2430.0 4996.01367
3.04916668 -2161.0 4996.01367
3.06583333 -2880.0 4996.01367
3.08249998 -2366.0 4996.01367
3.09916663 -2682.0 4996.01367
3.11583328 -2286.0 4996.01367
3.13249993 -2430.0 4996.01367
3.14916658 -3210.0 4995.68945
3.16583323 -2971.0 4996.01367
3.18249989 -2903.0 4996.01367
3.19916677 -2835.0 4995.19336
3.21583343 -3153.0 4995.65137
3.23250008 -3006.0 4995.26953
3.24916673 -3134.0 4995.82275
3.26583338 -3017.0 4996.96729
3.28250003 -3258.0 4995.11719
3.29916668 -3103.0 4995.23145
3.31583333 -3114.0 4995.67041
3.33249998 -3251.0 4996.94824
