# date day_of_year time_UT signal_power
29-08-2020 242 1.016667 -3304.0
29-08-2020 242 1.033333 -3384.0
29-08-2020 242 1.050000 -3372.0
29-08-2020 242 1.066667 -3318.0
29-08-2020 242 1.083333 -3085.0
29-08-2020 242 1.100000 -3294.0
29-08-2020 242 1.116667 -3413.0
29-08-2020 242 1.133333 -3397.0
29-08-2020 242 1.150000 -3296.0
29-08-2020 242 1.166667 -3232.0
29-08-2020 242 1.183333 -3276.0
29-08-2020 242 1.200000 -3326.0
29-08-2020 242 1.216667 -3511.0
29-08-2020 242 1.233333 -3230.0
29-08-2020 242 1.250000 -3346.0
29-08-2020 242 1.266667 -3350.0
29-08-2020 242 1.283333 -3415.0
29-08-2020 242 1.300000 -3428.0
29-08-2020 242 1.316667 -3365.0
29-08-2020 242 1.333333 -3331.0
29-08-2020 242 1.350000 -3366.0
29-08-2020 242 1.366667 -3434.0
29-08-2020 242 1.383333 -3352.0
29-08-2020 242 1.400000 -3367.0
29-08-2020 242 1.416667 -3338.0
29-08-2020 242 1.433333 -3391.0
29-08-2020 242 1.450000 -3348.0
29-08-2020 242 1.466667 -3335.0
29-08-2020 242 1.483333 -3291.0
29-08-2020 242 1.500000 -3293.0
29-08-2020 242 1.516667 -3284.0
29-08-2020 242 1.533333 -3319.0
29-08-2020 242 1.550000 -3308.0
29-08-2020 242 1.566667 -3357.0
29-08-2020 242 1.583333 -3288.0
29-08-2020 242 1.600000 -3389.0
29-08-2020 242 1.616667 -3387.0
29-08-2020 242 1.633333 -3452.0
29-08-2020 242 1.650000 -3349.0
29-08-2020 242 1.666667 -3429.0
29-08-2020 242 1.683333 -3299.0
29-08-2020 242 1.700000 -3311.0
29-08-2020 242 1.716667 -3360.0
29-08-2020 242 1.733333 -3386.0
29-08-2020 242 1.750000 -3337.0
29-08-2020 242 1.766667 -3436.0
29-08-2020 242 1.783333 -3357.0
29-08-2020 242 1.800000 -3334.0
29-08-2020 242 1.816667 -3409.0
29-08-2020 242 1.833333 -3345.0
29-08-2020 242 1.850000 -3282.0
29-08-2020 242 1.866667 -3362.0
29-08-2020 242 1.883333 -3380.0
29-08-2020 242 1.900000 -3337.0
29-08-2020 242 1.916667 -3361.0
29-08-2020 242 1.933333 -3408.0
29-08-2020 242 1.950000 -3305.0
29-08-2020 242 1.966667 -3383.0
29-08-2020 242 1.983333 -3275.0
29-08-2020 242 2.000000 -3361.0
29-08-2020 242 2.016667 -3337.0
29-08-2020 242 2.033333 -3369.0
