# date day_of_year time_UT signal_power
29-08-2020 242 1.016667 -3503.0
29-08-2020 242 1.033333 -3518.0
29-08-2020 242 1.050000 -3471.0
29-08-2020 242 1.066667 -3454.0
29-08-2020 242 1.083333 -3544.0
29-08-2020 242 1.100000 -3424.0
29-08-2020 242 1.116667 -3410.0
29-08-2020 242 1.133333 -3465.0
29-08-2020 242 1.150000 -3366.0
29-08-2020 242 1.166667 -3509.0
29-08-2020 242 1.183333 -3508.0
29-08-2020 242 1.200000 -3516.0
29-08-2020 242 1.216667 -3486.0
29-08-2020 242 1.233333 -3502.0
29-08-2020 242 1.250000 -3460.0
29-08-2020 242 1.266667 -3562.0
29-08-2020 242 1.283333 -3599.0
29-08-2020 242 1.300000 -3578.0
29-08-2020 242 1.316667 -3559.0
29-08-2020 242 1.333333 -3461.0
29-08-2020 242 1.350000 -3559.0
29-08-2020 242 1.366667 -3551.0
29-08-2020 242 1.383333 -3509.0
29-08-2020 242 1.400000 -3462.0
29-08-2020 242 1.416667 -3372.0
29-08-2020 242 1.433333 -3590.0
29-08-2020 242 1.450000 -3393.0
29-08-2020 242 1.466667 -3428.0
29-08-2020 242 1.483333 -3467.0
29-08-2020 242 1.500000 -3458.0
29-08-2020 242 1.516667 -3516.0
29-08-2020 242 1.533333 -3461.0
29-08-2020 242 1.550000 -3490.0
29-08-2020 242 1.566667 -3490.0
29-08-2020 242 1.583333 -3550.0
29-08-2020 242 1.600000 -3503.0
29-08-2020 242 1.616667 -3372.0
29-08-2020 242 1.633333 -3528.0
29-08-2020 242 1.650000 -3533.0
29-08-2020 242 1.666667 -3494.0
29-08-2020 242 1.683333 -3556.0
29-08-2020 242 1.700000 -3440.0
29-08-2020 242 1.716667 -3507.0
29-08-2020 242 1.733333 -3427.0
29-08-2020 242 1.750000 -3517.0
29-08-2020 242 1.766667 -3489.0
29-08-2020 242 1.783333 -3609.0
29-08-2020 242 1.800000 -3521.0
29-08-2020 242 1.816667 -3542.0
29-08-2020 242 1.833333 -3438.0
29-08-2020 242 1.850000 -3499.0
29-08-2020 242 1.866667 -3487.0
29-08-2020 242 1.883333 -3529.0
29-08-2020 242 1.900000 -3517.0
29-08-2020 242 1.916667 -3417.0
29-08-2020 242 1.933333 -3441.0
29-08-2020 242 1.950000 -3586.0
29-08-2020 242 1.966667 -3523.0
29-08-2020 242 1.983333 -3440.0
29-08-2020 242 2.000000 -3521.0
29-08-2020 242 2.016667 -3500.0
29-08-2020 242 2.033333 -3515.0
29-08-2020 242 2.050000 -3454.0
29-08-2020 242 2.066667 -3448.0
29-08-2020 242 2.083333 -3460.0
29-08-2020 242 2.100000 -3431.0
29-08-2020 242 2.116667 -3465.0
29-08-2020 242 2.133333 -3437.0
29-08-2020 242 2.150000 -3476.0
29-08-2020 242 2.166667 -3463.0
29-08-2020 242 2.183333 -3467.0
29-08-2020 242 2.200000 -3469.0
29-08-2020 242 2.216667 -3487.0
29-08-2020 242 2.233333 -3450.0
29-08-2020 242 2.250000 -3419.0
29-08-2020 242 2.266667 -3536.0
29-08-2020 242 2.283333 -3496.0
29-08-2020 242 2.300000 -3416.0
29-08-2020 242 2.316667 -3421.0
29-08-2020 242 2.333333 -3431.0
29-08-2020 242 2.350000 -3544.0
29-08-2020 242 2.366667 -3405.0
29-08-2020 242 2.383333 -3468.0
29-08-2020 242 2.400000 -3498.0
29-08-2020 242 2.416667 -3502.0
29-08-2020 242 2.433333 -3442.0
